question_id,question,category,type,scale,out_of,notes
1,introduction and background,,,,,"FOR COMPLETE SCORING:  Option 1: 1 = strongly agree, 2 = agree, 3 = somewhat agree, 4 = neither agree nor disagree, 5 = somewhat disagree, 6 = disagree, 7 = strongly disagree Option 2: 1 = much better, 2 = moderately better, 3 = slightly better, 4 = about the same, 5 = slightly worse, 6 = moderately worse, 7 = much worse Option 3: 1 = always, 2 = most of the time, 3 = about half of the time, 4 = sometimes, 5 = never"
2.1,Our team is clear about the shared goals for our work together,Goal Setting,quantitative,-3 to 3,7,"-3 = strongly disagree, 3 = strongly agree"
2.2,We each know about one another's individual goals for our work together,Goal Setting,quantitative,-3 to 3,7,"-3 = strongly disagree, 3 = strongly agree"
2.3,I feel supported by my teammates in the pursuit of my individual goals for this project,Goal Setting,quantitative,-3 to 3,7,"-3 = strongly disagree, 3 = strongly agree"
3,Please state in 1-2 sentences what you believe your team's shared goals are for this project.,Goal Setting,qualitative,No scale (qualitative),,No scale (qualitative)
4.1,We have good communication amongst ourselves,Team Process,quantitative,-3 to 3,7,"-3 = strongly disagree, 3 = strongly agree"
4.2,We fairly distribute work amongst ourselves,Team Process,quantitative,-3 to 3,7,"-3 = strongly disagree, 3 = strongly agree"
4.3,I am clear about the roles I play on my team,Team Process,quantitative,-3 to 3,7,"-3 = strongly disagree, 3 = strongly agree"
4.4,I enjoy working with my teammates,Team Process,quantitative,-3 to 3,7,"-3 = strongly disagree, 3 = strongly agree"
5.1,Please allocate 100 points across yourself and your teammates for your contributions to the work of the team. For teammate 1,Team Process,quantitative,1-100,100,"1 = no contribution, 100 = total contribution"
5.2,Please allocate 100 points across yourself and your teammates for your contributions to the work of the team. For teammate 2,Team Process,quantitative,1-100,100,"1 = no contribution, 100 = total contribution"
5.3,Please allocate 100 points across yourself and your teammates for your contributions to the work of the team. For teammate 3,Team Process,quantitative,1-100,100,"1 = no contribution, 100 = total contribution"
5.4,Please allocate 100 points across yourself and your teammates for your contributions to the work of the team. For teammate 4,Team Process,quantitative,1-100,100,"1 = no contribution, 100 = total contribution"
