,0
HP1: Sustainable Behavior Change Team 2,0.23570226039551584
7 - Preemptively Detect Blood Sugar Changes for Type 1 Diabetes,0.4714045207910317
6 - Using Passive Hydroponics in Urban Environments,0.49180788932265
12 - Safety Solutions for Urban Settings,0.562916512459885
9 - Optimizing Assembly Processes,0.6057020719792859
HP5: Signaling with Wearables,0.6248199740725324
17 - Making Water Filtration More Efficient and Accessible,0.7000000000000002
HP2: Sharing Memories,0.7000000000000002
19 - Playing Cards for Visually Impaired,0.8870597499605086
HP1: Sustainable Behavior Change Team 1,0.9428090415820634
10 - Improving Product Life Cycle for Infant Furniture,0.9810198774744577
1 - Personalizing Clothing Sizes,1.0855413396089528
HP3: Living Alone,1.4142135623730951
