,0
12 - Safety Solutions for Urban Settings,0.0
HP1: Sustainable Behavior Change Team 2,0.18856180831641284
7 - Preemptively Detect Blood Sugar Changes for Type 1 Diabetes,0.23570226039551584
HP2: Sharing Memories,0.4602988159880491
HP3: Living Alone,0.4714045207910317
6 - Using Passive Hydroponics in Urban Environments,0.562916512459885
9 - Optimizing Assembly Processes,0.562916512459885
19 - Playing Cards for Visually Impaired,0.562916512459885
1 - Personalizing Clothing Sizes,0.5878775382679627
17 - Making Water Filtration More Efficient and Accessible,0.7000000000000002
HP5: Signaling with Wearables,0.7042726744663603
HP1: Sustainable Behavior Change Team 1,0.7071067811865476
10 - Improving Product Life Cycle for Infant Furniture,0.989141041510259
