question_id,question_id_str,question,category,type,scale,out_of,notes,shorthand,used_in_percentile,gpt_dynamic_question,
1,,introduction and background,,,,,"FOR COMPLETE SCORING:  Option 1: 1 = strongly agree, 2 = agree, 3 = somewhat agree, 4 = neither agree nor disagree, 5 = somewhat disagree, 6 = disagree, 7 = strongly disagree Option 2: 1 = much better, 2 = moderately better, 3 = slightly better, 4 = about the same, 5 = slightly worse, 6 = moderately worse, 7 = much worse Option 3: 1 = always, 2 = most of the time, 3 = about half of the time, 4 = sometimes, 5 = never",,FALSE,FALSE,
2.1,Q2_1,Our team is clear about the shared goals for our work together,Goal Setting,quantitative,-3 to 3,7,"-3 = strongly disagree, 3 = strongly agree",SharedGoal,TRUE,FALSE,
2.2,Q2_2,We each know about one another's individual goals for our work together,Goal Setting,quantitative,-3 to 3,7,"-3 = strongly disagree, 3 = strongly agree",IndvGoal,TRUE,FALSE,
2.3,Q2_3,I feel supported by my teammates in the pursuit of my individual goals for this project,Goal Setting,quantitative,-3 to 3,7,"-3 = strongly disagree, 3 = strongly agree",Support,TRUE,FALSE,
3,Q3,Please state in 1-2 sentences what you believe your team's shared goals are for this project.,Goal Setting,qualitative,,,,TeamGoalWritten,FALSE,FALSE,
3.5,Q3_5,Please capture your updated personal goals in 1-2 sentences below,Goal Setting,qualitative,,,,IndvGoalWritten,FALSE,FALSE,
4.1,Q4_1,We have good communication amongst ourselves,Team Process,quantitative,-3 to 3,7,"-3 = strongly disagree, 3 = strongly agree",Communicate,TRUE,FALSE,
4.2,Q4_2,We fairly distribute work amongst ourselves,Team Process,quantitative,-3 to 3,7,"-3 = strongly disagree, 3 = strongly agree",WorkAlloc,TRUE,FALSE,
4.3,Q4_3,I am clear about the roles I play on my team,Team Process,quantitative,-3 to 3,7,"-3 = strongly disagree, 3 = strongly agree",Role,TRUE,FALSE,
4.4,Q4_4,I enjoy working with my teammates,Team Process,quantitative,-3 to 3,7,"-3 = strongly disagree, 3 = strongly agree",Enjoy,TRUE,FALSE,
4.5,Q4_5,We have effective approaches for decision-making and conflict resolution,Team Process,quantitative,-3 to 3,7,"-3 = strongly disagree, 3 = strongly agree",ConflictRes,TRUE,FALSE,
4.6,Q4_6,"We have efficient meetings, including allocation of roles during those meetings",Team Process,quantitative,-3 to 3,7,"-3 = strongly disagree, 3 = strongly agree",Efficiency,TRUE,FALSE,
4.7,Q4_7,"I feel comfortable expressing my ideas, questions or concerns with my team.",Team Process,quantitative,-3 to 3,7,"-3 = strongly disagree, 3 = strongly agree",Expression,TRUE,FALSE,
5.1,Q5_1,Please allocate 100 points across yourself and your teammates for your contributions to the work of the team. For teammate 1,Team Process,quantitative,0-100,100,"0 = 0% contribution, 100 = total contribution",ContributionPoints,FALSE,FALSE,
5.2,Q5_2,Please allocate 100 points across yourself and your teammates for your contributions to the work of the team. For teammate 2,Team Process,quantitative,0-100,100,"0 = 0% contribution, 100 = total contribution",ContributionPoints,FALSE,FALSE,
5.3,Q5_3,Please allocate 100 points across yourself and your teammates for your contributions to the work of the team. For teammate 3,Team Process,quantitative,0-100,100,"0 = 0% contribution, 100 = total contribution",ContributionPoints,FALSE,FALSE,
5.4,Q5_4,Please allocate 100 points across yourself and your teammates for your contributions to the work of the team. For teammate 4,Team Process,quantitative,0-100,100,"0 = 0% contribution, 100 = total contribution",ContributionPoints,FALSE,FALSE,
5.5,Q5_5,Please allocate 100 points across yourself and your teammates for your contributions to the work of the team. For teammate 5,Team Process,quantitative,0-100,100,"0 = 0% contribution, 100 = total contribution",ContributionPoints,FALSE,FALSE,
5.6,Q5_6,Please allocate 100 points across yourself and your teammates for your contributions to the work of the team. For teammate 6,Team Process,quantitative,0-100,100,"0 = 0% contribution, 100 = total contribution",ContributionPoints,FALSE,FALSE,
6,Q6,Name one concrete and specific thing that your team did well that you will carry forward into future teams.,Individual Reflection,qualitative,,,,DidWell,FALSE,FALSE,
7,Q7,Name one concrete and specific thing that you would like your team to do differently.,Individual Reflection,qualitative,,,,DoDiff,FALSE,FALSE,
14.1,Q14_1,"For each of your teammates and yourself, write one line that describes their primary contribution to the team's work together. For teammate 1",Teammate Contributions and Feedback,qualitative,,,,Contribute,FALSE,FALSE,
14.2,Q14_2,"For each of your teammates and yourself, write one line that describes their primary contribution to the team's work together. For teammate 2",Teammate Contributions and Feedback,qualitative,,,,Contribute,FALSE,FALSE,
14.3,Q14_3,"For each of your teammates and yourself, write one line that describes their primary contribution to the team's work together. For teammate 3",Teammate Contributions and Feedback,qualitative,,,,Contribute,FALSE,FALSE,
14.4,Q14_4,"For each of your teammates and yourself, write one line that describes their primary contribution to the team's work together. For teammate 4",Teammate Contributions and Feedback,qualitative,,,,Contribute,FALSE,FALSE,
14.5,Q14_5,"For each of your teammates and yourself, write one line that describes their primary contribution to the team's work together. For teammate 5",Teammate Contributions and Feedback,qualitative,,,,Contribute,FALSE,FALSE,
14.6,Q14_6,"For each of your teammates and yourself, write one line that describes their primary contribution to the team's work together. For teammate 6",Teammate Contributions and Feedback,qualitative,,,,Contribute,FALSE,FALSE,
15.1,Q15_1,"For each of your teammates listed below, write one line that describes something you might like to see them do differently in the future. For teammate 1",Teammate Contributions and Feedback,qualitative,,,,Improve,FALSE,FALSE,
15.2,Q15_2,"For each of your teammates listed below, write one line that describes something you might like to see them do differently in the future. For teammate 2",Teammate Contributions and Feedback,qualitative,,,,Improve,FALSE,FALSE,
15.3,Q15_3,"For each of your teammates listed below, write one line that describes something you might like to see them do differently in the future. For teammate 3",Teammate Contributions and Feedback,qualitative,,,,Improve,FALSE,FALSE,
15.4,Q15_4,"For each of your teammates listed below, write one line that describes something you might like to see them do differently in the future. For teammate 4",Teammate Contributions and Feedback,qualitative,,,,Improve,FALSE,FALSE,
15.5,Q15_5,"For each of your teammates listed below, write one line that describes something you might like to see them do differently in the future. For teammate 5",Teammate Contributions and Feedback,qualitative,,,,Improve,FALSE,FALSE,
15.6,Q15_6,"For each of your teammates listed below, write one line that describes something you might like to see them do differently in the future. For teammate 6",Teammate Contributions and Feedback,qualitative,,,,Improve,FALSE,FALSE,
16.1,Q16_1,Took initiative to help the team problem solve. For teammate 1,Teammate Contributions and Feedback,"[collaboration, initiative]",quantitative,-3 to 3,7,"-3 = strongly disagree, 3 = strongly agree",Initiative,FALSE,FALSE
16.2,Q16_2,Took initiative to help the team problem solve. For teammate 2,Teammate Contributions and Feedback,"[collaboration, initiative]",quantitative,-3 to 3,7,"-3 = strongly disagree, 3 = strongly agree",Initiative,FALSE,FALSE
16.3,Q16_3,Took initiative to help the team problem solve. For teammate 3,Teammate Contributions and Feedback,"[collaboration, initiative]",quantitative,-3 to 3,7,"-3 = strongly disagree, 3 = strongly agree",Initiative,FALSE,FALSE
16.4,Q16_4,Took initiative to help the team problem solve. For teammate 4,Teammate Contributions and Feedback,"[collaboration, initiative]",quantitative,-3 to 3,7,"-3 = strongly disagree, 3 = strongly agree",Initiative,FALSE,FALSE
16.5,Q16_5,Took initiative to help the team problem solve. For teammate 5,Teammate Contributions and Feedback,"[collaboration, initiative]",quantitative,-3 to 3,7,"-3 = strongly disagree, 3 = strongly agree",Initiative,FALSE,FALSE
16.6,Q16_6,Took initiative to help the team problem solve. For teammate 6,Teammate Contributions and Feedback,"[collaboration, initiative]",quantitative,-3 to 3,7,"-3 = strongly disagree, 3 = strongly agree",Initiative,FALSE,FALSE
17.1,Q17_1,"Communicated information and feelings openly, clearly and effectively. For teammate 1",Teammate Contributions and Feedback,[communication],quantitative,-3 to 3,7,"-3 = strongly disagree, 3 = strongly agree",Communicate,FALSE,FALSE
17.2,Q17_2,"Communicated information and feelings openly, clearly and effectively. For teammate 2",Teammate Contributions and Feedback,[communication],quantitative,-3 to 3,7,"-3 = strongly disagree, 3 = strongly agree",Communicate,FALSE,FALSE
17.3,Q17_3,"Communicated information and feelings openly, clearly and effectively. For teammate 3",Teammate Contributions and Feedback,[communication],quantitative,-3 to 3,7,"-3 = strongly disagree, 3 = strongly agree",Communicate,FALSE,FALSE
17.4,Q17_4,"Communicated information and feelings openly, clearly and effectively. For teammate 4",Teammate Contributions and Feedback,[communication],quantitative,-3 to 3,7,"-3 = strongly disagree, 3 = strongly agree",Communicate,FALSE,FALSE
17.5,Q17_5,"Communicated information and feelings openly, clearly and effectively. For teammate 5",Teammate Contributions and Feedback,[communication],quantitative,-3 to 3,7,"-3 = strongly disagree, 3 = strongly agree",Communicate,FALSE,FALSE
17.6,Q17_6,"Communicated information and feelings openly, clearly and effectively. For teammate 6",Teammate Contributions and Feedback,[communication],quantitative,-3 to 3,7,"-3 = strongly disagree, 3 = strongly agree",Communicate,FALSE,FALSE
18.1,Q18_1,Contributed expertise and effort in team activities. For teammate 1,Teammate Contributions and Feedback,"[collaboration, team building]",quantitative,-3 to 3,7,"-3 = strongly disagree, 3 = strongly agree",Expertise,FALSE,FALSE
18.2,Q18_2,Contributed expertise and effort in team activities. For teammate 2,Teammate Contributions and Feedback,"[collaboration, team building]",quantitative,-3 to 3,7,"-3 = strongly disagree, 3 = strongly agree",Expertise,FALSE,FALSE
18.3,Q18_3,Contributed expertise and effort in team activities. For teammate 3,Teammate Contributions and Feedback,"[collaboration, team building]",quantitative,-3 to 3,7,"-3 = strongly disagree, 3 = strongly agree",Expertise,FALSE,FALSE
18.4,Q18_4,Contributed expertise and effort in team activities. For teammate 4,Teammate Contributions and Feedback,"[collaboration, team building]",quantitative,-3 to 3,7,"-3 = strongly disagree, 3 = strongly agree",Expertise,FALSE,FALSE
18.5,Q18_5,Contributed expertise and effort in team activities. For teammate 5,Teammate Contributions and Feedback,"[collaboration, team building]",quantitative,-3 to 3,7,"-3 = strongly disagree, 3 = strongly agree",Expertise,FALSE,FALSE
18.6,Q18_6,Contributed expertise and effort in team activities. For teammate 6,Teammate Contributions and Feedback,"[collaboration, team building]",quantitative,-3 to 3,7,"-3 = strongly disagree, 3 = strongly agree",Expertise,FALSE,FALSE
19.1,Q19_1,Respected and valued other team members to bring out the best in one another. For teammate 1,Teammate Contributions and Feedback,"[respect, team building]",quantitative,-3 to 3,7,"-3 = strongly disagree, 3 = strongly agree",Respect,FALSE,FALSE
19.2,Q19_2,Respected and valued other team members to bring out the best in one another. For teammate 2,Teammate Contributions and Feedback,"[respect, team building]",quantitative,-3 to 3,7,"-3 = strongly disagree, 3 = strongly agree",Respect,FALSE,FALSE
19.3,Q19_3,Respected and valued other team members to bring out the best in one another. For teammate 3,Teammate Contributions and Feedback,"[respect, team building]",quantitative,-3 to 3,7,"-3 = strongly disagree, 3 = strongly agree",Respect,FALSE,FALSE
19.4,Q19_4,Respected and valued other team members to bring out the best in one another. For teammate 4,Teammate Contributions and Feedback,"[respect, team building]",quantitative,-3 to 3,7,"-3 = strongly disagree, 3 = strongly agree",Respect,FALSE,FALSE
19.5,Q19_5,Respected and valued other team members to bring out the best in one another. For teammate 5,Teammate Contributions and Feedback,"[respect, team building]",quantitative,-3 to 3,7,"-3 = strongly disagree, 3 = strongly agree",Respect,FALSE,FALSE
